emd, lr, lr_t0, wd, batch_size
1.209, 0.010, 100, 0.010, 512
1.257, 0.005, 100, 0.001, 512
1.168, 0.010, 50, 0.001, 1024
1.180, 0.010, 125, 0.100, 1024
1.180, 0.010, 125, 0.100, 512
1.335, 0.100, 100, 0.010, 1024
1.178, 0.005, 50, 0.010, 1024
1.171, 0.005, 100, 0.010, 1024
1.125, 0.010, 100, 0.010, 1024
1.123, 0.005, 100, 0.010, 512
1.687, 0.100, 100, 0.100, 1024
1.116, 0.010, 50, 0.010, 1024
1.229, 0.010, 125, 0.010, 1024
1.237, 0.010, 50, 0.001, 512
1.238, 0.010, 100, 0.001, 1024
1.243, 0.005, 100, 0.001, 1024
1.221, 0.005, 50, 0.001, 1024
1.227, 0.010, 100, 0.001, 512
1.212, 0.010, 50, 0.010, 512
1.122, 0.010, 125, 0.010, 512
1.209, 0.010, 100, 0.100, 512
1.192, 0.005, 50, 0.010, 512
1.190, 0.010, 100, 0.100, 1024
1.842, 0.100, 100, 0.100, 512
1.237, 0.010, 100, 0.010, 2048
1.449, 0.100, 100, 0.010, 512
1.235, 0.005, 50, 0.001, 512
