Gradient ranking for layer conv2d_0_m (param idx, rank)
13, 0.17976027727127075
11, 0.17530140280723572
12, 0.14561998844146729
68, 0.13872657716274261
33, 0.11014357954263687
0, 0.09241112321615219
20, 0.09069554507732391
34, 0.08018261939287186
2, 0.07975105941295624
65, 0.07824879884719849
9, 0.07438446581363678
22, 0.07319637387990952
60, 0.06857312470674515
49, 0.06580138206481934
42, 0.0557963103055954
32, 0.0469222292304039
51, 0.045143626630306244
53, 0.043758634477853775
41, 0.04235197976231575
36, 0.03164910897612572
19, 0.023754654452204704
44, 0.02370040863752365
21, 0.022196635603904724
52, 0.021731680259108543
4, 0.021558914333581924
1, 0.020708605647087097
37, 0.017346907407045364
40, 0.016767529770731926
3, 0.01650512032210827
8, 0.015800585970282555
10, 0.011423313990235329
46, 0.01136023085564375
25, 0.010331778787076473
31, 0.009352587163448334
30, 0.009104175493121147
27, 0.008875127881765366
26, 0.008565002121031284
17, 0.008205652236938477
5, 0.007038657553493977
58, 0.0048738266341388226
28, 0.004806597251445055
39, 0.003923174925148487
59, 0.0035334660205990076
24, 0.0034723884891718626
48, 0.0033191542606800795
57, 0.0018294922774657607
61, 0.0011878965888172388
63, 0.0007128206780180335
15, 0.00017278551240451634
14, 0.0
7, 0.0
16, 0.0
6, 0.0
71, 0.0
18, 0.0
23, 0.0
69, 0.0
67, 0.0
66, 0.0
64, 0.0
62, 0.0
56, 0.0
55, 0.0
54, 0.0
50, 0.0
47, 0.0
45, 0.0
43, 0.0
38, 0.0
70, 0.0
29, 0.0
35, 0.0
