Hessian ranking for layer conv2d_0_m (param idx, rank)
4, 0.46569669246673584
1, 0.3804352581501007
20, 0.3700655400753021
52, 0.34910446405410767
68, 0.30115026235580444
12, 0.24449439346790314
11, 0.17572177946567535
3, 0.1615985482931137
28, 0.15897567570209503
60, 0.15176540613174438
22, 0.14695031940937042
0, 0.1300550103187561
25, 0.12744495272636414
44, 0.1188826933503151
9, 0.11705365777015686
13, 0.10260587185621262
65, 0.09264060854911804
33, 0.07286963611841202
49, 0.07257460802793503
36, 0.0646941214799881
2, 0.04515178129076958
51, 0.03384995087981224
34, 0.027146661654114723
41, 0.02489854395389557
53, 0.023066965863108635
30, 0.021614009514451027
19, 0.021613789722323418
21, 0.01875915750861168
42, 0.017683934420347214
26, 0.011317163705825806
17, 0.010950434021651745
37, 0.010692257434129715
32, 0.007395424880087376
27, 0.007073443848639727
46, 0.006617603357881308
59, 0.006391166243702173
31, 0.006363872438669205
57, 0.005172873847186565
10, 0.004322608932852745
24, 0.0032607910688966513
39, 0.0029454121831804514
8, 0.002122063422575593
58, 0.0020661468151956797
5, 0.0018796034855768085
61, 0.0017656624549999833
48, 0.0013528612907975912
40, 0.0010027739917859435
63, 0.00037795290700159967
15, 0.00012513302499428391
16, 0.0
7, 0.0
6, 0.0
14, 0.0
71, 0.0
18, 0.0
23, 0.0
69, 0.0
67, 0.0
66, 0.0
64, 0.0
62, 0.0
56, 0.0
55, 0.0
54, 0.0
50, 0.0
47, 0.0
45, 0.0
43, 0.0
38, 0.0
70, 0.0
29, 0.0
35, 0.0
