Hessian ranking (weighted sum * eigenvalue) for model (param idx, rank)
2, 3.590097985434113
10, 2.7684763681609184
878, 2.382896107621491
69, 2.3252483517862856
6, 2.219580087752547
53, 2.158464986132458
26, 2.1467782073887065
18, 2.070182747207582
21, 1.9887843817123212
862, 1.9129370513837785
61, 1.8828929467126727
34, 1.852066754247062
1267, 1.8053804109804332
36, 1.802386086434126
942, 1.7417619069456123
1950, 1.6390686977072164
2078, 1.6390686977072164
1438, 1.6390686977072164
1566, 1.6390686977072164
7, 1.6386764300987124
286, 1.604080585297197
1283, 1.5786226221825927
158, 1.5477296961471438
870, 1.4715335841756314
670, 1.4576664990745485
1822, 1.454743362031877
1310, 1.4515370349399745
869, 1.4331801327643916
885, 1.3965861529577523
58, 1.3852177938388195
857, 1.3247412461787462
1182, 1.2830125372856855
873, 1.2731512326281518
1694, 1.232706415350549
542, 1.2234930356498808
414, 1.1907107430843098
30, 1.1631386810913682
1331, 1.144114884082228
949, 1.1437519516330212
886, 1.126166990667116
798, 1.0825144586560782
103, 1.06645229679998
887, 1.0627415054477751
119, 1.0616723776620347
1038, 1.0580359571613371
937, 1.0548266271362081
1959, 1.0543356640264392
2087, 1.0543356640264392
1447, 1.0543356640264392
1575, 1.0543356640264392
950, 1.0487326118163764
38, 1.040334859630093
884, 1.0152044465066865
295, 1.0129714810173027
50, 1.0010207168525085
679, 0.9819149155518971
25, 0.979953526519239
1831, 0.9766702191554941
1945, 0.962388183164876
2073, 0.962388183164876
1433, 0.962388183164876
1561, 0.962388183164876
1134, 0.9523995819035918
1817, 0.9407152677886188
1305, 0.9406966221285984
45, 0.9300302673946135
871, 0.925237609539181
551, 0.9250939858611673
1054, 0.9201984873507172
1319, 0.8864942305372097
1689, 0.8860686155967414
1655, 0.8839651204179972
153, 0.8814555139979348
1177, 0.8761825915426016
423, 0.8725124858319759
1956, 0.8719381510745734
1444, 0.8719381510745734
1572, 0.8719381510745734
2084, 0.8719381510745734
1191, 0.8707514262059703
2083, 0.867873462033458
1571, 0.867873462033458
1955, 0.867873462033458
1443, 0.867873462033458
163, 0.8628118233755231
880, 0.8482448901049793
409, 0.8456990801496431
931, 0.8452296718023717
1828, 0.8437016142997891
537, 0.8332201694138348
1046, 0.8258704483741894
281, 0.8162480868631974
1059, 0.814470991899725
167, 0.8115768659918103
1316, 0.8112090174108744
1703, 0.8094895726535469
291, 0.8065206282190047
1271, 0.8053414531750605
1045, 0.8008870203047991
675, 0.8001773541618604
665, 0.7997648479649797
951, 0.7991801754105836
165, 0.7987727272557095
1070, 0.7981277648359537
1700, 0.7980374989274424
1957, 0.7972852306556888
2085, 0.7972852306556888
1573, 0.7972852306556888
1445, 0.7972852306556888
293, 0.7910325638949871
926, 0.79019853688078
1574, 0.7895986503572203
1446, 0.7895986503572203
2086, 0.7895986503572203
1958, 0.7895986503572203
1829, 0.7815017681568861
1006, 0.7794993300922215
294, 0.7765591907082126
1318, 0.7729335762851406
677, 0.768989089934621
1188, 0.7679650193313137
1317, 0.766100657521747
874, 0.7650605906965211
549, 0.7642624854343012
1189, 0.758373849093914
1830, 0.7568644572747871
421, 0.7568315045209602
1033, 0.7544715751428157
14, 0.7527460847049952
744, 0.7524965985212475
547, 0.7519934241427109
550, 0.7518394032958895
166, 0.7491585058742203
114, 0.7486661409639055
104, 0.7469027071201708
678, 0.7440741416066885
1701, 0.7395531529327855
1190, 0.73778875276912
