Hessian ranking (sum eigenvector components) for model (param idx, rank)
4, 23.435795664787292
20, 18.808248281478882
52, 18.357133090496063
1, 16.9262832403183
862, 13.598320711404085
2, 13.097815692424774
68, 12.4767427444458
34, 12.165798061527312
742, 12.083874307572842
868, 12.067049131728709
726, 10.339700512588024
871, 9.72784486413002
741, 8.214595302939415
9, 8.152621686458588
12, 8.051645338535309
0, 7.3004970252513885
150, 7.289617761969566
28, 7.20858433842659
870, 7.134700138121843
725, 7.058626210317016
867, 6.988246031105518
858, 6.859350346028805
42, 6.4873895943164825
3, 6.2463147565722466
910, 5.9684068858623505
44, 5.823985069990158
737, 5.711198650300503
857, 5.570020541548729
22, 5.553714986890554
36, 5.467205457389355
916, 5.347688970961826
866, 5.310493666678667
25, 5.215205654501915
11, 5.14700595207978
149, 5.109262615442276
721, 4.9704829677939415
60, 4.793962799012661
694, 4.79060167260468
482, 4.602895323187113
774, 4.39455739594996
270, 4.2543826987966895
856, 4.216039672493935
846, 4.135134918848053
736, 4.097964282147586
65, 4.056813053786755
919, 4.008351240307093
145, 3.7936246916651726
276, 3.744521305896342
852, 3.7025457061827183
33, 3.6338706573005766
720, 3.5863751862198114
13, 3.5726959593594074
863, 3.545543387532234
49, 3.324853979051113
693, 3.2695510564371943
996, 3.1749037951231003
404, 3.1601101718842983
990, 3.1578969550319016
402, 3.078010905534029
356, 3.015288844704628
773, 2.9991061752662063
1170, 2.920218857936561
864, 2.8646532958373427
906, 2.80885118432343
915, 2.7919344594702125
869, 2.7606073692440987
279, 2.7001843517646194
278, 2.6669547110795975
855, 2.6383560691028833
1120, 2.6381732374429703
1762, 2.5855445994529873
358, 2.5734409615397453
357, 2.569242751225829
918, 2.547822004184127
1250, 2.498164762277156
144, 2.486808743327856
477, 2.443972360342741
355, 2.435534780845046
905, 2.3278588950634003
998, 2.325030095875263
851, 2.3233754448592663
1637, 2.3120272643864155
689, 2.304123925976455
484, 2.275149591267109
930, 2.23410714417696
999, 2.22694425098598
275, 2.213204214349389
786, 2.2121373140253127
480, 2.171962834894657
486, 2.1544069722294807
789, 2.1408930514007807
1636, 2.1368414908647537
769, 2.1138443369418383
735, 2.0799495643004775
904, 2.0710838632658124
