Hessian ranking (weighted sum * eigenvalue) for layer conv2d_0_m (param idx, rank)
4, 5907.060004591942
1, 5096.98280441761
20, 4646.014456033707
52, 4379.997087597847
68, 3729.741929292679
12, 3110.4525668621063
11, 2308.3378734588623
28, 2013.695365741849
3, 2007.493291735649
60, 1978.0977104902267
22, 1967.8733923435211
9, 1861.7188363075256
25, 1757.3036567866802
0, 1607.7545051574707
44, 1505.747699379921
65, 1412.216273009777
13, 1364.8273704051971
33, 1158.55747371912
49, 1118.2750676572323
36, 851.6905052214861
2, 733.875780582428
34, 516.3472683895379
51, 467.00309079140425
41, 398.1725650653243
53, 338.07952282577753
30, 321.7743649011245
42, 304.91954449005425
19, 288.2272973107174
21, 251.56274265423417
37, 187.8086010813713
17, 175.8160548992455
26, 160.00489950925112
31, 153.26958499848843
32, 144.41572263464332
27, 100.13010146841407
57, 90.14502405491658
46, 87.69627176597714
59, 79.42724622786045
10, 65.68901856429875
8, 57.48013625666499
40, 45.00621771765873
24, 43.35474850749597
5, 42.060019478201866
39, 39.82123760692775
58, 33.98896146938205
48, 25.0032305046916
61, 22.70656872354448
63, 6.185439078137279
15, 1.8670664737001061
16, 0.0
6, 0.0
7, 0.0
14, 0.0
71, 0.0
18, 0.0
23, 0.0
69, 0.0
67, 0.0
66, 0.0
64, 0.0
62, 0.0
56, 0.0
55, 0.0
54, 0.0
50, 0.0
47, 0.0
45, 0.0
43, 0.0
38, 0.0
70, 0.0
29, 0.0
35, 0.0
