Hessian ranking (weighted sum * eigenvalue) for layer encoded_vector (param idx, rank)
670, 77.48075984418392
654, 67.21533678099513
796, 52.8535044893506
669, 52.58400549925864
78, 47.788378592114896
790, 46.519318813458085
653, 45.59750293567777
410, 38.68884760141373
794, 37.41662532277405
665, 37.10698680952191
1048, 36.66451555490494
77, 32.550492929294705
799, 32.42431163135916
649, 32.08804574981332
622, 31.02246304228902
798, 29.876627307385206
702, 28.43725542165339
1052, 28.429902844130993
1045, 27.86636090837419
664, 26.81179484538734
786, 26.264976643025875
1049, 24.239350259304047
73, 23.816434904932976
648, 23.21624982729554
795, 23.008237541653216
330, 22.503217508085072
1047, 22.42070222273469
792, 21.597844395786524
621, 21.04499903600663
838, 20.29636657331139
785, 20.03213123907335
844, 19.34468102734536
701, 19.2912482265383
394, 18.960142055497272
30, 18.517831498757005
1093, 18.406357972882688
1098, 17.491784940008074
414, 16.825776860117912
858, 16.588866537902504
797, 16.274763021618128
72, 16.180159965530038
198, 15.680805836804211
1042, 15.57416938059032
286, 15.5537778143771
774, 15.120233395136893
332, 15.096433857921511
408, 14.901954730972648
784, 14.891730569303036
617, 14.809868141077459
1032, 14.759296458214521
922, 14.633146554115228
412, 14.187806039117277
204, 13.679990054806694
1050, 13.63601701380685
663, 13.620286375284195
780, 13.585663443431258
697, 13.5757119609043
282, 13.517504196614027
1566, 13.470449812244624
789, 13.438799743540585
791, 13.372757811797783
206, 13.140819028019905
1690, 12.98460199253168
1096, 12.843686668202281
1097, 12.838546300306916
26, 12.764081156812608
1561, 12.648188131395727
926, 12.60492136515677
847, 12.571944501483813
1178, 12.513230677694082
714, 12.239307353433105
924, 12.229441674426198
860, 12.188262489624321
718, 12.118713328614831
328, 12.100316992495209
918, 12.094432698446326
407, 12.049574505537748
717, 12.007601672085002
647, 11.803913146723062
846, 11.784826079383492
834, 11.75851789303124
856, 11.643235498573631
413, 11.35519893001765
1562, 11.095775002148002
278, 10.996780695393682
283, 10.99189500324428
405, 10.983426654711366
843, 10.896934286109172
1685, 10.740667609497905
616, 10.715191760566086
1033, 10.550625279545784
1565, 10.30675554368645
793, 10.26692757382989
1040, 10.105561568401754
1036, 10.018881432712078
696, 9.822259065229446
346, 9.70585684478283
126, 9.486076735891402
1029, 9.38978766836226
281, 9.382405122742057
1545, 9.271540151908994
207, 9.25993829453364
1173, 9.172468887642026
409, 9.166448035277426
1674, 9.031139061087742
325, 8.994772209087387
1550, 8.969944914802909
783, 8.894438663031906
397, 8.893304077908397
1031, 8.878291366621852
280, 8.783368347212672
1090, 8.676569838193245
350, 8.66160278674215
1564, 8.651559118181467
1689, 8.617641905322671
590, 8.585134683409706
914, 8.575323945842683
391, 8.566366447135806
1691, 8.527520257979631
1669, 8.277158619835973
153, 8.213857230730355
392, 8.15840857475996
71, 8.155357385519892
1181, 8.113393064588308
853, 8.108634103788063
203, 8.07907926151529
833, 7.923136975849047
347, 7.9163373578339815
779, 7.773026334587485
927, 7.70014664856717
1557, 7.630651548504829
832, 7.6201716447249055
194, 7.602859214879572
284, 7.434609269257635
1100, 7.430717945098877
398, 7.407933668466285
770, 7.393473822623491
406, 7.340303510427475
402, 7.281679207459092
1041, 7.220666721463203
1552, 7.177045060321689
1061, 7.1322498973459005
1555, 7.08426708728075
1242, 7.0645874531473964
787, 6.9867664240300655
925, 6.947450566571206
1089, 6.941587224602699
1554, 6.849996149059734
1675, 6.837644953280687
1673, 6.787741616368294
806, 6.761038460186683
205, 6.7556440606713295
329, 6.748678848496638
890, 6.673965573310852
342, 6.6508900579065084
1099, 6.620931888115592
1559, 6.558975683350582
362, 6.513470381731167
1558, 6.4916632059030235
894, 6.4742232812568545
333, 6.412384107941762
842, 6.393524163868278
1101, 6.363099508918822
923, 6.341149863786995
411, 6.265217249514535
1026, 6.256978826597333
920, 6.243219408206642
335, 6.240269685164094
705, 6.22565692383796
474, 6.222815412096679
442, 6.193337874719873
839, 6.128550095949322
396, 6.06276171375066
110, 6.060230089351535
812, 6.040113135124557
1553, 6.023537395521998
1066, 6.021855118917301
334, 5.915279783308506
1237, 5.8871427974663675
1095, 5.869015920907259
154, 5.855317265726626
1169, 5.849403481464833
344, 5.8425096878781915
1563, 5.739921797066927
912, 5.719126001000404
345, 5.713504125596955
1068, 5.704798570484854
137, 5.684866420459002
857, 5.665874716825783
400, 5.640591947361827
782, 5.590085383038968
458, 5.534919813275337
144, 5.5222801943309605
970, 5.492951509280829
1064, 5.491722929291427
615, 5.447960048681125
913, 5.447041838779114
1102, 5.438094725832343
1245, 5.429762423038483
1682, 5.412815421819687
769, 5.37558861321304
28, 5.368669536663219
1694, 5.252403588528978
393, 5.241938592866063
589, 5.234646196011454
193, 5.2036197409033775
893, 5.197430949192494
1693, 5.183379688765854
326, 5.151620416669175
285, 5.010292388498783
695, 4.993963529821485
974, 4.978257725422736
389, 4.95820208452642
29, 4.937570472247899
861, 4.904393194592558
1539, 4.839669738896191
1567, 4.828842484857887
921, 4.796703364700079
919, 4.782401975244284
716, 4.721293116919696
19, 4.634612008463591
348, 4.618650701479055
192, 4.598292364738882
709, 4.59510586084798
302, 4.593376191332936
201, 4.547833487129537
1548, 4.511571988463402
1543, 4.5110839530825615
395, 4.504800061462447
1536, 4.488475100137293
1560, 4.476279642898589
863, 4.411646214779466
1051, 4.399861613055691
768, 4.397623707598541
710, 4.394845713628456
1681, 4.393085668445565
401, 4.37744144257158
815, 4.355571072228486
27, 4.353070412762463
1666, 4.3326211757957935
310, 4.327775503508747
24, 4.310042651370168
156, 4.3003241201804485
199, 4.2855760753154755
1692, 4.252933470765129
585, 4.230647423828486
840, 4.152564760821406
802, 4.008791114203632
349, 3.997618411667645
138, 3.9908457566052675
1233, 3.990822659805417
1088, 3.9678838099353015
315, 3.9654688918963075
469, 3.9310621817130595
1182, 3.923059571534395
157, 3.91336747771129
915, 3.8587353387847543
331, 3.8068696814589202
128, 3.8047420126385987
1678, 3.797206085640937
538, 3.7963998549384996
125, 3.7557721016928554
942, 3.7465137550607324
938, 3.7178409805055708
25, 3.699479720555246
1544, 3.6927120815962553
811, 3.6704816761193797
1210, 3.6599668730050325
707, 3.6595965404994786
1677, 3.6350678503513336
1046, 3.5986791637260467
584, 3.5937366387806833
318, 3.5885355146601796
1065, 3.5781262079253793
403, 3.575501506915316
272, 3.567203601822257
1063, 3.5513166058808565
1025, 3.5227213837206364
862, 3.514530984684825
706, 3.5031512746354565
713, 3.4952889243140817
883, 3.489108773879707
814, 3.4845606395974755
1226, 3.4663080596365035
1549, 3.4571616880130023
1610, 3.4559775013040053
1629, 3.4531894109677523
826, 3.4362293129088357
1538, 3.4185188645496964
159, 3.417403089813888
415, 3.408948095049709
316, 3.4064075691858307
1177, 3.401789073832333
90, 3.3728651432320476
1676, 3.3122891935054213
300, 3.3102807181421667
1024, 3.309320458676666
775, 3.2989422872196883
386, 3.2779446081258357
109, 3.240429006749764
1541, 3.222560878843069
