Hessian ranking for layer conv2d_0_m (param idx, rank)
1, 3.9997805079910904
4, 3.717157021164894
20, 3.141695737838745
52, 2.877743676304817
68, 2.5843894630670547
12, 2.5579580604098737
28, 2.531784259714186
25, 2.460903380997479
22, 2.417136990930885
33, 2.321945644915104
3, 2.230739889666438
60, 2.2049338375218213
44, 1.9939325054874644
65, 1.9141228790394962
13, 1.798356635030359
11, 1.7774553894996643
9, 1.7763599921017885
30, 1.5799833027285786
49, 1.5292163011617959
2, 1.2090958198532462
36, 1.1761417570523918
0, 1.171966977417469
31, 1.0697163587901741
34, 0.8351278459886089
42, 0.5891066393814981
41, 0.5725599622819573
37, 0.5241935644298792
51, 0.340127446455881
26, 0.30109368497505784
53, 0.27859487500973046
5, 0.22736628795973957
57, 0.20282538231549552
27, 0.20227730937767774
19, 0.1867533570039086
21, 0.1817843997851014
32, 0.17696816026000306
17, 0.17424924648366868
46, 0.15455852739978582
40, 0.11279301487957127
10, 0.1047754492610693
8, 0.09222165041137487
58, 0.08349643263500184
24, 0.07424006404471584
59, 0.0708504042122513
39, 0.06480331474449486
63, 0.027457625270471908
48, 0.026739032851764932
61, 0.0210058783122804
15, 0.01589616882847622
14, 0.0
6, 0.0
16, 0.0
7, 0.0
71, 0.0
18, 0.0
23, 0.0
69, 0.0
67, 0.0
66, 0.0
64, 0.0
62, 0.0
56, 0.0
55, 0.0
54, 0.0
50, 0.0
47, 0.0
45, 0.0
43, 0.0
38, 0.0
70, 0.0
29, 0.0
35, 0.0
