Hessian ranking (sum eigenvector components) for model (bit idx, rank)
0, 380.18317794799805
5, 306.71364974975586
10, 304.0689082145691
15, 291.1197860240936
20, 209.81378650665283
25, 204.64835131168365
1, 190.09158897399902
30, 175.15114164352417
35, 159.9566799402237
6, 153.35682487487793
11, 152.03445410728455
40, 151.93956100940704
16, 145.5598930120468
45, 141.31627789139748
50, 140.0282968878746
55, 139.17875722050667
60, 136.9668641090393
65, 127.78193811327219
70, 123.42284691333771
75, 119.58035734295845
80, 116.76501280069351
85, 116.46924781799316
90, 110.15466821193695
95, 106.76510374248028
21, 104.90689325332642
100, 104.61498534679413
26, 102.32417565584183
105, 96.8077108412981
110, 96.71797922253609
2, 95.04579448699951
115, 92.4550616145134
120, 91.52104473114014
125, 90.91018790006638
130, 88.51225063204765
31, 87.57557082176208
135, 86.5551806986332
140, 86.46985146403313
145, 84.15939286351204
150, 82.91874730587006
155, 82.91789570450783
160, 81.18051482737064
165, 80.13194060325623
36, 79.97833997011185
7, 76.67841243743896
12, 76.01722705364227
41, 75.96978050470352
170, 75.05476874113083
175, 74.85311752557755
180, 74.4808488637209
17, 72.7799465060234
185, 70.94051516056061
46, 70.65813894569874
51, 70.0141484439373
190, 69.61058373749256
56, 69.58937861025333
195, 69.28698933124542
61, 68.48343205451965
200, 66.83405786752701
205, 64.36850842833519
66, 63.890969056636095
210, 61.89536726474762
71, 61.711423456668854
215, 61.27168468385935
220, 60.84073832631111
76, 59.790178671479225
225, 59.66555005311966
81, 58.382506400346756
86, 58.23462390899658
230, 57.26664597727358
235, 55.40815527737141
91, 55.077334105968475
96, 53.38255187124014
22, 52.45344662666321
101, 52.307492673397064
240, 51.54643243551254
27, 51.162087827920914
245, 50.832392767071724
250, 50.686558896442875
255, 50.08979681134224
260, 49.392341911792755
265, 48.864657543599606
270, 48.64771583676338
106, 48.40385542064905
111, 48.35898961126804
275, 47.905149325728416
3, 47.522897243499756
280, 46.92744520306587
116, 46.2275308072567
285, 45.82885545492172
121, 45.76052236557007
126, 45.45509395003319
290, 45.162975519895554
295, 44.69531124830246
131, 44.25612531602383
32, 43.78778541088104
136, 43.2775903493166
141, 43.23492573201656
300, 43.22817712649703
305, 43.210889771580696
310, 42.40794138610363
315, 42.27883020043373
146, 42.07969643175602
320, 41.725803196430206
151, 41.45937365293503
156, 41.458947852253914
161, 40.59025741368532
325, 40.14146026968956
166, 40.06597030162811
37, 39.98916998505592
330, 39.59720028936863
335, 39.02910538762808
340, 38.93039870262146
345, 38.737647742033005
8, 38.33920621871948
350, 38.078388422727585
13, 38.00861352682114
42, 37.98489025235176
355, 37.60886164009571
171, 37.527384370565414
360, 37.46567505598068
176, 37.42655876278877
365, 37.245441392064095
181, 37.24042443186045
370, 37.17085173726082
375, 36.81173241138458
380, 36.611678659915924
385, 36.595493882894516
390, 36.45510047674179
18, 36.3899732530117
395, 36.02458217740059
400, 35.81234649568796
186, 35.470257580280304
47, 35.32906947284937
405, 35.30069623142481
52, 35.00707422196865
191, 34.80529186874628
57, 34.79468930512667
196, 34.64349466562271
410, 34.59679362177849
415, 34.428627133369446
62, 34.24171602725983
420, 33.8796366751194
425, 33.85217356681824
430, 33.75683492422104
201, 33.417028933763504
435, 33.0059529542923
440, 32.89825060963631
445, 32.52554668486118
450, 32.50526085495949
455, 32.22988802194595
206, 32.184254214167595
460, 32.0546891503036
67, 31.945484528318048
465, 31.758930876851082
470, 31.11372935771942
211, 30.94768363237381
475, 30.937472090125084
480, 30.894768923521042
485, 30.86669483035803
72, 30.855711728334427
490, 30.666127040982246
216, 30.635842341929674
495, 30.5527586042881
500, 30.43819399178028
221, 30.420369163155556
505, 30.370183117687702
510, 30.080685913562775
77, 29.895089335739613
226, 29.83277502655983
515, 29.623030096292496
520, 29.511847138404846
525, 29.50194874405861
82, 29.191253200173378
87, 29.11731195449829
231, 28.63332298863679
530, 28.17686127871275
535, 27.799972131848335
236, 27.704077638685703
540, 27.66464578360319
92, 27.538667052984238
545, 27.467781901359558
550, 27.396277904510498
555, 27.077202655375004
560, 27.035684138536453
565, 26.823741368949413
570, 26.771094374358654
575, 26.69278836250305
97, 26.69127593562007
580, 26.35873556137085
23, 26.226723313331604
102, 26.153746336698532
585, 26.099821023643017
590, 26.09376621246338
595, 26.08484122157097
600, 25.945464476943016
605, 25.84726595133543
241, 25.77321621775627
28, 25.581043913960457
246, 25.416196383535862
251, 25.343279448221438
610, 25.149211809039116
615, 25.06271207332611
256, 25.04489840567112
261, 24.696170955896378
620, 24.460169680416584
266, 24.432328771799803
271, 24.32385791838169
107, 24.201927710324526
112, 24.17949480563402
625, 24.05378758534789
630, 23.969190806150436
276, 23.952574662864208
4, 23.761448621749878
635, 23.685562759637833
640, 23.644820898771286
281, 23.463722601532936
645, 23.455085936933756
650, 23.24115824699402
117, 23.11376540362835
655, 23.02319425344467
660, 22.988331515341997
286, 22.91442772746086
665, 22.912374198436737
670, 22.887947365641594
122, 22.880261182785034
675, 22.774761378765106
127, 22.727546975016594
680, 22.709948003292084
685, 22.7054083943367
291, 22.581487759947777
690, 22.528148233890533
695, 22.407572254538536
700, 22.389276936650276
296, 22.34765562415123
705, 22.21035298705101
132, 22.128062658011913
710, 22.10286408662796
33, 21.89389270544052
715, 21.77959219366312
137, 21.6387951746583
142, 21.61746286600828
301, 21.614088563248515
306, 21.605444885790348
720, 21.55079811811447
725, 21.492259368300438
730, 21.469654619693756
735, 21.28220273181796
311, 21.203970693051815
740, 21.155085295438766
316, 21.139415100216866
745, 21.138010919094086
147, 21.03984821587801
750, 21.005635887384415
755, 20.97975741326809
760, 20.971115969121456
765, 20.963302791118622
321, 20.862901598215103
770, 20.813839435577393
775, 20.794654443860054
780, 20.73191231675446
152, 20.729686826467514
157, 20.729473926126957
785, 20.623909950256348
790, 20.559791326522827
795, 20.377413660287857
162, 20.29512870684266
800, 20.1925859041512
805, 20.157911002635956
810, 20.084696531295776
326, 20.07073013484478
167, 20.032985150814056
38, 19.99458499252796
331, 19.798600144684315
815, 19.780793111771345
820, 19.720249075442553
825, 19.645424872636795
830, 19.609099969267845
835, 19.54750508442521
336, 19.51455269381404
840, 19.470571219921112
341, 19.46519935131073
845, 19.43389993906021
850, 19.42170248180628
855, 19.380535066127777
346, 19.368823871016502
860, 19.305160224437714
9, 19.16960310935974
351, 19.039194211363792
865, 19.033721268177032
14, 19.00430676341057
43, 18.99244512617588
870, 18.880257606506348
875, 18.864597138017416
356, 18.804430820047855
172, 18.763692185282707
361, 18.73283752799034
177, 18.713279381394386
366, 18.622720696032047
182, 18.620212215930223
880, 18.60018402338028
885, 18.591502830386162
371, 18.58542586863041
890, 18.503431824967265
895, 18.42292058840394
376, 18.40586620569229
900, 18.404288828372955
905, 18.335334718227386
381, 18.305839329957962
386, 18.297746941447258
391, 18.227550238370895
19, 18.19498662650585
910, 18.128757890313864
915, 18.115314334630966
920, 18.046370826661587
396, 18.012291088700294
401, 17.90617324784398
925, 17.889720171689987
930, 17.86746995151043
187, 17.735128790140152
48, 17.664534736424685
406, 17.650348115712404
53, 17.503537110984325
935, 17.49200100451708
192, 17.40264593437314
58, 17.397344652563334
197, 17.321747332811356
411, 17.298396810889244
940, 17.252093529328704
416, 17.214313566684723
63, 17.120858013629913
945, 17.07968946453184
950, 16.983641892671585
421, 16.9398183375597
426, 16.92608678340912
431, 16.87841746211052
955, 16.767591804265976
960, 16.767117112874985
965, 16.765063893049955
970, 16.748568952083588
202, 16.708514466881752
975, 16.68223401531577
980, 16.662115424871445
985, 16.64321005344391
990, 16.622445791959763
995, 16.508283495903015
436, 16.50297647714615
1000, 16.454627104103565
441, 16.449125304818153
446, 16.26277334243059
451, 16.252630427479744
456, 16.114944010972977
207, 16.092127107083797
461, 16.0273445751518
1005, 15.98460841178894
68, 15.972742264159024
1010, 15.962076868861914
1015, 15.95796936750412
466, 15.879465438425541
471, 15.55686467885971
212, 15.473841816186905
476, 15.468736045062542
481, 15.447384461760521
486, 15.433347415179014
73, 15.427855864167213
491, 15.333063520491123
217, 15.317921170964837
1020, 15.302541002631187
496, 15.27637930214405
